ORF,Xi
YOR090C,2.96653E-05
YOR089C,7.65763E-05
YOR087W,3.61003E-05
YOR086C,0.000134877
YOR085W,0.000101995
YOR084W,1.5444E-06
YOR083W,1.75675E-05
YOR081C,2.78635E-05
YOR080W,8.62288E-06
YOR079C,1.8211E-05
YOR078W,5.97167E-05
YOR077W,1.26126E-05
YOR076C,2.4646E-05
YOR075W,2.34877E-05
YOR074C,5.55983E-05
YOR073W,9.71683E-06
YOR072W-B,0
YOR072W,6.43499E-08
YOR071C,9.84553E-06
YOR070C,5.56626E-05
YOR068C,0
YOR069W,4.6525E-05
YOR067C,4.74902E-05
YOR066W,2.26512E-05
YOR065W,5.05146E-05
YOR064C,6.56369E-06
YOR063W,0.008487747
YOR062C,3.92534E-06
YOR061W,0.000106499
YOR060C,5.08364E-06
YOR059C,7.52893E-06
YOR058C,2.83783E-05
YOR057W,3.82238E-05
YOR056C,8.83524E-05
YOR054C,2.19433E-05
YOR052C,4.74902E-05
YOR051C,0.000149485
YOR049C,4.50449E-07
YOR048C,0.000103282
YOR047C,2.09781E-05
YOR046C,0.000349548
YOR045W,0.000101029
YOR044W,3.47489E-06
YOR043W,3.80951E-05
YOR042W,0.000123359
YOR040W,1.16473E-05
YOR039W,7.76059E-05
YOR038C,2.94079E-05
YOR037W,1.03603E-05
YOR036W,1.86615E-05
YOR035C,2.1879E-05
YOR034C-A,1.9305E-07
YOR034C,1.85328E-05
YOR033C,8.81593E-06
YOR032W-A,6.43499E-08
YOR032C,4.50449E-07
YOR031W,5.14799E-07
YOR030W,6.94979E-06
YOR029W,0
YOR028C,1.29987E-05
YOR027W,0.001191438
YOR026W,1.13256E-05
YOR025W,3.95108E-05
YOR023C,2.63834E-05
YOR022C,1.13256E-05
YOR021C,0.000146139
YOR020W-A,1.46074E-05
YOR020C,0.000434748
YOR019W,2.50964E-06
YOR018W,2.02059E-05
YOR017W,1.08108E-05
YOR016C,3.27541E-05
YOR015W,7.07849E-07
YOR014W,9.18916E-05
YOR012W,3.66794E-06
YOR011W-A,6.43499E-08
YOR011W,6.17759E-06
YOR010C,2.12355E-06
YOR009W,4.50449E-07
YOR008C-A,3.21749E-07
YOR008C,5.14799E-05
YOR007C,0.000666343
YOR006C,4.53667E-05
YOR005C,7.14284E-06
YOR004W,6.61517E-05
YOR003W,2.89574E-06
YOR002W,4.38866E-05
YOR001W,9.31786E-05
YOL001W,4.11839E-06
YOL002C,3.70655E-05
YOL003C,1.5444E-05
YOL004W,0.000166023
YOL005C,9.77474E-05
YOL006C,8.98968E-05
YOL007C,3.35263E-05
YOL008W,2.1879E-05
YOL009C,8.30113E-06
YOL010W,7.07205E-05
YOL011W,1.36422E-05
YOL012C,9.85196E-05
YOL013C,1.06821E-05
YOL013W-A,9.00898E-07
YOL014W,4.18274E-06
YOL015W,1.287E-07
YOL016C,3.73229E-05
YOL017W,2.04633E-05
YOL018C,3.62933E-05
YOL019W,3.05018E-05
YOL019W-A,0
YOL020W,5.43113E-05
YOL021C,0.000153861
YOL022C,9.99353E-05
YOL023W,6.24194E-06
YOL024W,1.9305E-07
YOL025W,1.40283E-05
YOL026C,5.76575E-05
YOL027C,7.87642E-05
YOL028C,2.11711E-05
YOL029C,9.65248E-07
YOL030W,0.000239703
YOL031C,3.17888E-05
YOL032W,1.90476E-05
YOL033W,1.05534E-05
YOL034W,1.63449E-05
YOL036W,4.06048E-05
YOL038W,0.000201415
YOL038C-A,1.73745E-06
YOL039W,0.002075348
YOL040C,0.003234739
YOL041C,0.000169884
YOL042W,1.44144E-05
YOL043C,4.50449E-06
YOL044W,1.31274E-05
YOL045W,3.11453E-05
YOL047C,5.14799E-07
YOL048C,5.79149E-06
YOL049W,0.000101222
YOL051W,8.42983E-05
YOL052C,7.51606E-05
YOL052C-A,4.69754E-06
YOL053W,9.58813E-06
YOL054W,2.16216E-05
YOL055C,1.68597E-05
YOL056W,2.9987E-05
YOL057W,8.86098E-05
YOL058W,0.000852185
YOL059W,0.000401028
YOL060C,3.06949E-05
YOL061W,0.0001935
YOL062C,3.32689E-05
YOL063C,1.3063E-05
YOL064C,0.000126383
YOL065C,1.89832E-05
YOL066C,3.39124E-05
YOL067C,2.13642E-05
YOL068C,1.57657E-05
YOL069W,1.66023E-05
YOL070C,8.2947E-05
YOL071W,1.66666E-05
YOL072W,1.19691E-05
YOL073C,1.15186E-05
YOL075C,1.01673E-05
YOL076W,8.04373E-05
YOL077C,0.000190476
YOL077W-A,4.36292E-05
YOL078W,1.80823E-05
YOL080C,3.63577E-05
YOL081W,3.59072E-05
YOL082W,1.287E-05
YOL083W,2.63834E-06
YOL084W,3.86099E-07
YOL085C,1.287E-07
YOL086C,0.016818417
YOL086W-A,1.9498E-05
YOL087C,2.32303E-05
YOL088C,4.40153E-05
YOL089C,2.39381E-05
YOL090W,0.000110553
YOL091W,3.21749E-07
YOL092W,9.56239E-05
YOL093W,5.87514E-05
YOL094C,5.74001E-05
YOL095C,8.30113E-06
YOL096C,2.06563E-05
YOL097C,0.000364864
YOL097W-A,2.57399E-07
YOL098C,0.000148713
YOL100W,1.31274E-05
YOL101C,1.01673E-05
YOL102C,2.3359E-05
YOL103W,2.49677E-05
YOL103W-A,0
YOL103W-B,0
YOL104C,8.36548E-07
YOL105C,2.57399E-06
YOL107W,2.20077E-05
YOL108C,1.24839E-05
YOL109W,0.001851153
YOL110W,9.45943E-06
YOL111C,8.30113E-05
YOL112W,8.88028E-06
YOL113W,4.82624E-06
YOL114C,3.98969E-06
YOL115W,4.54954E-05
YOL116W,1.42213E-05
YOL117W,8.81593E-06
YOL118C,3.79664E-06
YOL119C,3.66794E-05
YOL120C,0.001736481
YOL121C,0.000918208
YOL122C,3.26254E-05
YOL123W,0.00037516
YOL124C,6.57656E-05
YOL125W,2.91505E-05
YOL126C,0.000249227
YOL127W,0.003175087
YOL128C,8.42983E-06
YOL129W,7.76059E-05
YOL130W,5.66922E-05
YOL131W,1.9305E-07
YOL132W,7.07849E-07
YOL133W,4.90346E-05
YOL135C,2.23938E-05
YOL136C,2.29086E-05
YOL137W,3.09523E-05
YOL138C,1.48005E-05
YOL139C,0.000764348
YOL140W,7.21362E-05
YOL141W,2.12998E-05
YOL142W,5.27025E-05
YOL143C,0.000709779
YOL144W,3.81595E-05
YOL145C,9.56883E-05
YOL146W,3.27541E-05
YOL147C,4.57528E-05
YOL148C,2.39381E-05
YOL149W,4.24709E-05
YOL151W,0.000164671
YOL152W,5.14799E-07
YOL153C,6.43499E-07
