Protein,phi
YGL167C,0.000264862
YGL171W,7.63582E-05
YGL173C,0.000647399
YGL174W,1.72844E-05
YGL181W,2.02069E-05
YGL184C,0
YGL185C,0
YGL187C,0.000451934
YGL189C,1.5521E-05
YGL190C,9.74187E-05
YGL191W,7.706E-05
YGL195W,0.001534866
YGL196W,1.76552E-05
YGL198W,6.23235E-05
YGL200C,0.000118819
YGL201C,0.000201427
YGL202W,0.001152405
YGL206C,0.002190808
YGL207W,0.000508512
YGL210W,5.28672E-05
YGL213C,0.000120716
YGL220W,4.45852E-05
YGL221C,0.000140843
YGL226C-A,0
YGL228W,0.000225363
YGL231C,4.69333E-05
YGL232W,6.1375E-05
YGL234W,0.001849547
YGL238W,0.000220356
YGL242C,0.000113601
YGL244W,0.000251776
YGL245W,0.001751862
YGL246C,9.91145E-05
YGL248W,7.66224E-05
YGL252C,0.000251244
YGL253W,0.005208248
YGL255W,0
YGR001C,0.000126365
YGR005C,6.02955E-05
YGR008C,4.24063E-06
YGR009C,7.1239E-05
YGR012W,6.30417E-05
YGR017W,5.26415E-05
YGR019W,0.000416914
YGR020C,8.36622E-05
YGR028W,9.1455E-06
YGR029W,3.85684E-05
YGR031W,4.00703E-05
YGR034W,0.000231843
YGR037C,0.000179441
YGR043C,0.000681574
YGR048W,0.000271671
YGR054W,0.000237779
YGR055W,0
YGR061C,0.001283066
YGR063C,1.44071E-05
YGR070W,0
YGR076C,3.29387E-05
YGR078C,6.02096E-05
YGR080W,0.000265811
YGR081C,2.89608E-05
YGR082W,0.000163559
YGR083C,0.000114767
YGR084C,4.30538E-05
YGR086C,0.002087233
YGR087C,7.69014E-05
YGR090W,0.000175279
YGR092W,3.80608E-06
YGR094W,0.001145109
YGR095C,9.63936E-05
YGR098C,2.60225E-05
YGR103W,0.00012867
YGR104C,3.3904E-05
YGR106C,1.35517E-05
YGR111W,7.58829E-05
YGR116W,0.00099605
YGR117C,0.000142265
YGR119C,0.000272913
YGR120C,0
YGR123C,0.000100773
YGR124W,0.000605358
YGR128C,0.000168797
YGR129W,0
YGR130C,0.000365376
YGR132C,0.000479694
YGR135W,0.000362955
YGR136W,9.55768E-05
YGR145W,0.000122244
YGR148C,0.000130554
YGR152C,8.3249E-05
YGR155W,0.000993467
YGR156W,4.96888E-05
YGR157W,0.000153865
YGR158C,6.95745E-05
YGR159C,0.000113216
YGR162W,0.000435529
YGR163W,7.36665E-05
YGR167W,0.000154428
YGR169C-A,2.27766E-05
YGR173W,0.000226552
YGR175C,0.000667547
YGR177C,0
YGR178C,0.000187498
YGR180C,0.001424646
YGR181W,7.86334E-05
YGR185C,0.000325291
YGR186W,0.000139379
YGR187C,0.000103179
YGR189C,0.000148257
